bs,adj_bs_i_0,adj_bs_i_1,adj_bs_i_2,adj_bs_i_3,adj_bs_i_4,adj_bs_i_5,adj_bs_i_6
49,11946,6175,3187,8480,5511,1323,2826
50,6754,9093,4807,2708,6897,6589,3715
51,7327,9736,9111,8226,2313,12742,9732
52,7435,9090,7033,1877,10619,1880,7521
53,7103,604,553,1879,4399,5359,9100
54,9111,8224,7327,9732,9736,10082,6281
55,9103,7112,4669,5294,6075,3326,10578
56,7171,6334,9490,1458,7519,2555,9466
57,7197,553,5359,4399,1879,7103,8226
58,7029,6177,2311,7283,1878,605,7686
59,5003,8765,4882,6892,6032,6794,9974
60,6721,7622,7323,7234,7670,3455,600
61,11292,3223,7113,7517,5978,598,7619
62,11414,12343,4280,1779,4400,9114,550
63,7100,9113,9342,7441,2682,9382,10304
64,6793,12157,4879,13119,5797,610,6364
65,8706,9112,2308,3325,3836,8709,599
66,1885,8709,9110,3836,3325,509,11412
67,7521,9090,5566,12755,1877,5770,5599
68,9730,617,7223,10619,529,6429,7109
69,6687,11072,7197,5719,6692,8230,6132
134,9737,7949,9119,7916,7886,7971,7874
149,55,3718,5585,6337,6489,64,59
150,55,3718,59,5585,11073,6337,6489
151,7187,3229,6964,6573,7634,9121,3334
152,6962,6498,793,7869,3337,6366,8105
153,7735,6332,7671,6093,1382,1793,5875
154,6033,3980,10034,11073,3718,6143,56
155,10085,8134,4810,5299,10620,7605,12048
156,958,7773,10631,3330,836,11415,3462
157,5084,67,3338,3228,9955,7266,7287
158,7636,68,8105,7869,10093,6498,2445
159,4404,10017,6337,6489,13073,8133,2883
160,7198,3336,943,2306,4159,1552,2581
161,7186,6573,9136,7266,7003,7187,63
162,5084,63,3228,3338,9955,7287,12037
163,7636,64,7869,8105,6498,6178,6962
164,6366,10091,6780,6795,940,7190,7729
165,7706,4884,3977,7446,8064,10428,10764
166,1552,12041,2581,7634,3334,4405,11668
205,10783,10776,7545,6791,7296,8335,6797
213,7745,7741,6797,6499,7545,7299,6725
219,6726,7601,961,7276,7013,8334,6791
223,1555,7276,7601,8334,6726,961,1052
225,10783,6791,962,8332,6185,10776,4387
228,12615,6956,6802,826,7407,7405,10794
229,1295,7411,3868,9752,7767,158,1007
230,6807,7384,150,828,9963,3488,8135
232,10511,2319,6345,4888,6998,7556,11074
233,7178,9748,831,4285,4574,10495,9997
235,7793,2909,2714,1475,154,6802,6956
236,8135,8339,3488,9963,12350,7179,6490
237,7036,2290,7794,4516,5012,2320,2908
238,7181,6778,10113,9493,12057,3720,9057
239,832,7408,3489,9151,7757,9058,10794
240,2714,2909,7793,7407,150,6802,1475
241,7718,2907,8873,7802,1677,6325,6192
244,7376,7635,6344,7673,10787,12611,7300
246,9752,3870,3868,1944,10095,6354,3869
248,1007,7411,4290,8338,1295,9776,7351
251,5904,6817,4891,763,7801,7858,8188
252,2449,7819,1949,7041,7531,8055,3139
253,7402,10450,1014,7037,9775,6367,3344
254,9778,7534,7687,6923,7125,8944,4818
255,8934,7815,7547,7039,11680,4520,6700
256,7124,10802,9777,8062,11536,9485,6574
257,10608,11200,7337,3787,5577,6330,4059
258,9779,7358,6291,7531,3139,10802,1949
259,6732,9783,6923,11331,13006,7534,7728
260,7770,7826,1945,7993,7821,7589,2454
261,7310,2717,4580,11416,3348,6431,7728
262,2718,6203,1960,9786,7466,1008,7023
263,7824,7577,11331,9591,6596,7312,6732
264,10503,3719,8945,2712,12614,2715,12765
265,7274,6727,7355,6903,7042,6296,6501
266,3524,5377,3235,6818,4819,6826,1033
267,3877,3146,2460,2723,4179,4180,1029
268,1609,11113,1602,1610,2730,3143,1032
269,4823,3361,1603,5501,3892,7482,2728
273,235,4530,10836,3251,8468,7414,7825
274,6629,4589,2349,2036,6576,6215,7747
275,1041,11543,2034,11743,239,11544,6374
276,2544,10570,12554,5292,6891,6801,5214
277,6222,237,6843,267,11720,3572,1043
